weather,,,"I hate the weather."
age,,,"I am 24 years old."
old,,,"I am 24 years old."
music,,,"I play the cello and I like Powderfinger (as Aussie band)"
favourite,band,,I like Powderfinger
you,in,band,I would like to be!
guitar,,,I play cello.
program,you,are,NEVER!!!!!!
you,are,computer,NEVER!!!!!!
food,you,like,Pizza
food,,,I like Pizza!
fuck,,,Watch your language.
shit,,,Watch your language.
smart,you,"","1 + 1 = 2"
idiot,"","","Yes, you are pathetic talking to a computer."
you,are,crap,"I'm not the one talking to a computer."
family,do,you,"I have a family, do you?"
animal,"",,"Animals smell, so I don't like them."
blue,,,"I like blue"
color,i,,"I like blue, but not that colour."
colour,my,is,"I hate that colour."
color,"","","Blue."
colour,"","","Blue."
